Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
A156_10094,A156,"=""10094""",BLUEBERRY MỸ HỘP 125G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A156_11106,A156,"=""11106""",BÔNG CẢI XANH SƠ CHẾ 250G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_11498,A156,"=""11498""",HỖN HỢP BÔNG CẢI VÀ CÀ RỐT 300G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_11532,A156,"=""11532""",TÁO XANH MỸ TÚI 900G UP,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_11548,A156,"=""11548""",ỚT XAY 50G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_11549,A156,"=""11549""",SẢ XAY 50G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_11566,A156,"=""11566""",BẮP CHUỐI BÀO 200G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_11589,A156,"=""11589""",MÍT GIỐNG THÁI LỘT SẴN HỘP 350G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_11702,A156,"=""11702""",CHERRY MỸ HỘP 300G,Meat,Fix weight,6,3,3,Đã tạo phiếu KFM (Lệch số lượng)
A156_11742,A156,"=""11742""",MÍA TƯƠI CẮT KHÚC 500G,Meat,Fix weight,6,3,3,Đã tạo phiếu KFM (Lệch số lượng)
A156_11751,A156,"=""11751""",TÁO RED FUJI NAM PHI TÚI 950G UP,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936176751007,A156,"=""8936176751007""",TNT - CHÈ BƯỞI 140G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936176751175,A156,"=""8936176751175""",TNT - CHÈ DỪA NON KIỂU THÁI 140G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936076279328,A156,"=""8936076279328""",SAVOURE - BÁNH SU KEM 150G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936076278765,A156,"=""8936076278765""",SAVOURE - BÁNH SU KEM SỮA CHANH DÂY 75G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936076278758,A156,"=""8936076278758""",SAVOURE - BÁNH SU KEM SỮA CÀ PHÊ MUỐI 75G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936049693892,A156,"=""8936049693892""",HASFARM - HỖN HỢP XÀ LÁCH BABY 100G ( ĐÃ RỬA SẠCH),Meat,Fix weight,6,3,3,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936049694431,A156,"=""8936049694431""",HỖN HỢP XÀ LÁCH RADICHIO VÀ ROCKET 100G (ĐÃ RỬA SẠCH),Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936094510236,A156,"=""8936094510236""",THẠCH AN - THẠCH ĐEN TOPPING 235G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938525186072,A156,"=""8938525186072""",TIÊN TIẾN- MĂNG TÂY XANH VIETGAP LOẠI 2 250G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938549562029,A156,"=""8938549562029""",NẮNG MAI - TÀU HỦ LÁ DỨA 160G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
